category,larger_category
a dinosaur truck,hybrid
a tiger frog,hybrid
a train cat,hybrid
a rabbit boat,hybrid
a mushroom house,hybrid
a sheep fish,hybrid
a bike bee,hybrid
a elephant snail,hybrid
a phone bird,hybrid
an airplane lamp,hybrid
a horse car,hybrid
a bear tree,hybrid
an octopus cup,hybrid
a spider watch,hybrid
an ice cream hat,hybrid
a cow whale,hybrid
a camel dog,hybrid
a dinosaur,base
a truck,base
a dinosaur,base
a truck,base
a tiger,base
a frog,base
a train,base
a cat,base
a rabbit,base
a boat,base
a mushroom,base
a house,base
a sheep,base
a fish,base
a bike,base
a bee,base
an elephant,base
a snail,base
a phone,base
a bird,base
an airplane,base
a lamp,base
a horse,base
a car,base
a bear,base
a tree,base
an octopus,base
a cup,base
a spider,base
a watch,base
an ice cream,base
a hat,base
a cow,base
a whale,base
a camel,base
a dog,base
